# Dane pochodza z przedmiotu GPS, laborka 2
# Przedstawiaja przykladowe wspolrzedne n satelitow GPS
# Format danych:
# nazwa satelity, x, y, z (w ukladzie wsp. ECEF)
SV0, 14842944, 4743470, 21508234
SV5, 24048184, -11177798, 14694528
SV7, 23358305, -2181549, 12451828
SV8, 18935913, -3082759, -18366964
SV12, 7469795, 22355916, -12240619
SV14, 11809542, -17987732, -15569001
SV17, 11083784, -18179141, 15877221
SV18, 12238819, 10377771, -21164375
SV19, 20851929, -15349957, 59155277
SV21, 22862911, 13420911, 1607501
